category;language;item
Droits, libertés, minorités et discrimination;en;freedom of assembly
Droits, libertés, minorités et discrimination;en;freedom of the press
Droits, libertés, minorités et discrimination;en;gay*
Droits, libertés, minorités et discrimination;en;gender*
Droits, libertés, minorités et discrimination;en;glbt
Droits, libertés, minorités et discrimination;en;glbtq*
Droits, libertés, minorités et discrimination;en;hate crime*
Droits, libertés, minorités et discrimination;en;headscar*
Droits, libertés, minorités et discrimination;en;hijab*
Droits, libertés, minorités et discrimination;en;niqab*
Droits, libertés, minorités et discrimination;en;nikab*
Droits, libertés, minorités et discrimination;en;burqa*
Droits, libertés, minorités et discrimination;en;burka*
Droits, libertés, minorités et discrimination;en;hispanic*
Droits, libertés, minorités et discrimination;en;holocaust deni*
Droits, libertés, minorités et discrimination;en;homophob*
Droits, libertés, minorités et discrimination;en;homosexual*
Droits, libertés, minorités et discrimination;en;human right*
Droits, libertés, minorités et discrimination;en;indian act
Droits, libertés, minorités et discrimination;en;inequalit*
Droits, libertés, minorités et discrimination;en;intercultural*
Droits, libertés, minorités et discrimination;en;intersex*
Droits, libertés, minorités et discrimination;en;inuit
Droits, libertés, minorités et discrimination;en;islamophob*
Droits, libertés, minorités et discrimination;en;language right*
Droits, libertés, minorités et discrimination;en;latina*
Droits, libertés, minorités et discrimination;en;latino*
Droits, libertés, minorités et discrimination;en;lesbian*
Droits, libertés, minorités et discrimination;en;lgbt
Droits, libertés, minorités et discrimination;en;lgbtq*
Droits, libertés, minorités et discrimination;en;life begins at
Droits, libertés, minorités et discrimination;en;minorit*
Droits, libertés, minorités et discrimination;en;native american*
Droits, libertés, minorités et discrimination;en;official bilingualism
Droits, libertés, minorités et discrimination;en;people of color
Droits, libertés, minorités et discrimination;en;people of colour
Droits, libertés, minorités et discrimination;en;person of color
Droits, libertés, minorités et discrimination;en;person of colour
Droits, libertés, minorités et discrimination;en;privacy
Droits, libertés, minorités et discrimination;en;pro choice
Droits, libertés, minorités et discrimination;en;pro life
Droits, libertés, minorités et discrimination;en;pro-choice
Droits, libertés, minorités et discrimination;en;pro-life
Droits, libertés, minorités et discrimination;en;racism*
Droits, libertés, minorités et discrimination;en;rights
Droits, libertés, minorités et discrimination;en;same-sex
Droits, libertés, minorités et discrimination;en;sexism*
Droits, libertés, minorités et discrimination;en;sexual orientation*
Droits, libertés, minorités et discrimination;en;sexualit*
Droits, libertés, minorités et discrimination;en;transexual*
Droits, libertés, minorités et discrimination;en;transgender*
Droits, libertés, minorités et discrimination;en;transphobi*
Droits, libertés, minorités et discrimination;en;transsexual
Droits, libertés, minorités et discrimination;en;voter* registration*
Droits, libertés, minorités et discrimination;en;voting age
Droits, libertés, minorités et discrimination;en;voting right
Droits, libertés, minorités et discrimination;en;xenophobi*
Droits, libertés, minorités et discrimination;en;obscenit*
Santé et services sociaux;en;aids
Santé et services sociaux;en;alcoholism
Santé et services sociaux;en;allerg*
Santé et services sociaux;en;anaesthesiolog*
Santé et services sociaux;en;anesthesiolog*
Santé et services sociaux;en;cancer*
Santé et services sociaux;en;cardiolog*
Santé et services sociaux;en;cardiothoracic
Santé et services sociaux;en;cardiovascular
Santé et services sociaux;en;cigarette*
Santé et services sociaux;en;dermatolog*
Santé et services sociaux;en;dietic*
Santé et services sociaux;en;disease*
Santé et services sociaux;en;disorder*
Santé et services sociaux;en;doctor*
Santé et services sociaux;en;drug treatment*
Santé et services sociaux;en;drug* abuse*
Santé et services sociaux;en;endocrin*
Santé et services sociaux;en;gastroenterolog*
Santé et services sociaux;en;geriatric*
Santé et services sociaux;en;gerontolog*
Santé et services sociaux;en;gynaecolog*
Santé et services sociaux;en;gynecolog*
Santé et services sociaux;en;haematolog*
Santé et services sociaux;en;health
Santé et services sociaux;en;hematolog*
Santé et services sociaux;en;hepatolog*
Santé et services sociaux;en;hiv
Santé et services sociaux;en;hiv/aids
Santé et services sociaux;en;hiv positive
Santé et services sociaux;en;hiv negative
Santé et services sociaux;en;hiv-positive
Santé et services sociaux;en;hiv-negative
Santé et services sociaux;en;hospital
Santé et services sociaux;en;hospitals
Santé et services sociaux;en;illness*
Santé et services sociaux;en;immunis*
Santé et services sociaux;en;immuniz*
Santé et services sociaux;en;immunolog*
Santé et services sociaux;en;infectious
Santé et services sociaux;en;intensive care
Santé et services sociaux;en;maxillofacial
Santé et services sociaux;en;medical
Santé et services sociaux;en;medicare
Santé et services sociaux;en;medicaid
Santé et services sociaux;en;nephrolog*
Santé et services sociaux;en;neurolog*
Santé et services sociaux;en;neurosurger*
Santé et services sociaux;en;nicotine
Santé et services sociaux;en;nurs*
Santé et services sociaux;en;obstetric*
Santé et services sociaux;en;oncolog*
Santé et services sociaux;en;ophtalmolog*
Santé et services sociaux;en;orthodont*
Santé et services sociaux;en;orthopaedic*
Santé et services sociaux;en;orthopedic*
Santé et services sociaux;en;palliative
Santé et services sociaux;en;patholog*
Santé et services sociaux;en;pediatric*
Santé et services sociaux;en;pharmac*
Santé et services sociaux;en;physician*
Santé et services sociaux;en;prescription*
Santé et services sociaux;en;primary care
Santé et services sociaux;en;proctolog*
Santé et services sociaux;en;psychiatr*
Santé et services sociaux;en;pulmonol*
Santé et services sociaux;en;radiolog*
Santé et services sociaux;en;radiotherap*
Santé et services sociaux;en;respiratory
Santé et services sociaux;en;rheumatolog*
Santé et services sociaux;en;sickness*
Santé et services sociaux;en;surgeon*
Santé et services sociaux;en;surger*
Santé et services sociaux;en;surgical*
Santé et services sociaux;en;syndrome*
Santé et services sociaux;en;therap*
Santé et services sociaux;en;tobacco*
Santé et services sociaux;en;urolog*
Santé et services sociaux;en;vaccin*
Santé et services sociaux;en;vascular
Santé et services sociaux;en;drunk driving
Santé et services sociaux;en;medicine
Santé et services sociaux;en;dentist*
Santé et services sociaux;en;dental
Santé et services sociaux;en;epidemic*
Santé et services sociaux;en;pandemic*
Santé et services sociaux;en;tuberculosis
Santé et services sociaux;en;obesit*
Santé et services sociaux;en;obese
Santé et services sociaux;en;euthanasia*
Santé et services sociaux;en;in vitro fertilization*
Santé et services sociaux;en;contracept*
Santé et services sociaux;en;stem cell*
Santé et services sociaux;en;ambulance*
Santé et services sociaux;en;sex ed*
Santé et services sociaux;en;sexualy transmitted
Santé et services sociaux;en;sexualy-transmitted
Santé et services sociaux;en;std
Santé et services sociaux;en;stds
Santé et services sociaux;en;pain killer*
Santé et services sociaux;en;nhs
Santé et services sociaux;en;flu*
Santé et services sociaux;en;flu*
Santé et services sociaux;en;common cold*
Santé et services sociaux;en;mental ill*
Santé et services sociaux;en;mentally ill
Santé et services sociaux;en;osteoporosis
Santé et services sociaux;en;nutrition
Santé et services sociaux;en;sars
Santé et services sociaux;en;drinking age
Santé et services sociaux;en;vitamin supplement*
Santé et services sociaux;en;diet supplement
Santé et services sociaux;en;blood suppl*
Santé et services sociaux;en;blood donation*
Santé et services sociaux;en;blood services
Santé et services sociaux;en;hema-quebec
Santé et services sociaux;en;alzheimer's
Santé et services sociaux;en;alzheimers
Santé et services sociaux;en;high blood pressure
Santé et services sociaux;en;hypertension
Santé et services sociaux;en;heart attack*
Santé et services sociaux;en;cardiac
Santé et services sociaux;en;cholesterol
Santé et services sociaux;en;patients' bill of right
Santé et services sociaux;en;obamacare
Santé et services sociaux;en;affordable care act
Terres publiques et agriculture;en;agricult*
Terres publiques et agriculture;en;cattle
Terres publiques et agriculture;en;cultivat*
Terres publiques et agriculture;en;grain*
Terres publiques et agriculture;en;wheat*
Terres publiques et agriculture;en;orge*
Terres publiques et agriculture;en;beef*
Terres publiques et agriculture;en;pork*
Terres publiques et agriculture;en;poultr*
Terres publiques et agriculture;en;tractor*
Terres publiques et agriculture;en;thresh*
Terres publiques et agriculture;en;orchard*
Terres publiques et agriculture;en;food inspect*
Terres publiques et agriculture;en;farm*
Terres publiques et agriculture;en;food import
Terres publiques et agriculture;en;aquacult*
Terres publiques et agriculture;en;foot and mouth
Terres publiques et agriculture;en;livestock*
Terres publiques et agriculture;en;crop*
Terres publiques et agriculture;en;agri-food
Terres publiques et agriculture;en;pesticide*
Terres publiques et agriculture;en;manure
Terres publiques et agriculture;en;genetically modified
Terres publiques et agriculture;en;gmo
Terres publiques et agriculture;en;gmos
Terres publiques et agriculture;en;feed
Terres publiques et agriculture;en;e coli
Terres publiques et agriculture;en;mad cow
Terres publiques et agriculture;en;bovine spongiform encephalopathy
Terres publiques et agriculture;en;agroforest*
Terres publiques et agriculture;en;deforest*
Terres publiques et agriculture;en;reforest*
Terres publiques et agriculture;en;forest*
Terres publiques et agriculture;en;logging
Terres publiques et agriculture;en;lumber*
Terres publiques et agriculture;en;seedling
Terres publiques et agriculture;en;timber*
Terres publiques et agriculture;en;tree*
Terres publiques et agriculture;en;softwood*
Terres publiques et agriculture;en;wood
Économie et travail;en;cpp
Économie et travail;en;qpp
Économie et travail;en;qpip
Économie et travail;en;pension*
Économie et travail;en;employ*
Économie et travail;en;hire
Économie et travail;en;hiring
Économie et travail;en;income*
Économie et travail;en;internship*
Économie et travail;en;labor
Économie et travail;en;labour
Économie et travail;en;laid off
Économie et travail;en;living wage*
Économie et travail;en;lockout
Économie et travail;en;lock-out
Économie et travail;en;maternity leave*
Économie et travail;en;minimum wage*
Économie et travail;en;parental leave*
Économie et travail;en;paternity leave*
Économie et travail;en;paycheck*
Économie et travail;en;paycheque*
Économie et travail;en;recruitment*
Économie et travail;en;salar*
Économie et travail;en;self-employ*
Économie et travail;en;severence pay*
Économie et travail;en;strike
Économie et travail;en;trade union*
Économie et travail;en;unemployment*
Économie et travail;en;unionis*
Économie et travail;en;unioniz*
Économie et travail;en;wage
Économie et travail;en;wages
Économie et travail;en;worker*
Économie et travail;en;workforce*
Économie et travail;en;working condition*
Économie et travail;en;workplace*
Économie et travail;en;public service alliance of canada
Économie et travail;en;psac
Économie et travail;en;clc
Économie et travail;en;union of public employees
Économie et travail;en;cupe
Économie et travail;en;collective agreement*
Économie et travail;en;collective bargaining*
Économie et travail;en;bargain collectively
Économie et travail;en;centre for health and safety
Économie et travail;en;canadian auto worker*
Économie et travail;en;caw
Économie et travail;en;human resources
Économie et travail;en;retiree health benefit*
Économie et travail;en;retirement annuit*
Économie et travail;en;disabilit*insurance*
Économie et travail;en;child care
Économie et travail;en;daycare*
Économie et travail;en;day care*
Économie et travail;en;actra
Économie et travail;en;british columbia teachers' federation
Économie et travail;en;canadian association of university teachers
Économie et travail;en;canadian office and professional employees union
Économie et travail;en;canadian postmasters and assistants association
Économie et travail;en;canadian union of postal worker
Économie et travail;en;paperworkers union of canada
Économie et travail;en;union of public and general employees
Économie et travail;en;canadian federation of nurses
Économie et travail;en;telecommunications workers union
Immigration;en;asylum*
Immigration;en;border*
Immigration;en;citizenship*
Immigration;en;family class*
Immigration;en;points system*
Immigration;en;immigra*
Immigration;en;permanent residen*
Immigration;en;refugee*
Immigration;en;migrant worker*
Immigration;en;foreign worker*
Immigration;en;multicultural*
Immigration;en;intercultural*
Immigration;en;emigra*
Immigration;en;foreigner*
Immigration;en;newcomer to canada
Immigration;en;newcomers to canada
Immigration;en;work permit
Immigration;en;study permit
Immigration;en;residence permit
Immigration;en;work visa*
Immigration;en;study visa*
Immigration;en;residence visa*
Immigration;en;naturalise
Immigration;en;naturalize
Immigration;en;naturalisation*
Immigration;en;naturalization*
Immigration;en;deport*
Immigration;en;undocumented
Immigration;en;provincial nominee*
Immigration;en;labour market opinion
Immigration;en;nationalit*
Immigration;en;jus soli
Immigration;en;jus sanguinis
Éducation;en;10th grade
Éducation;en;11th grade
Éducation;en;12th grade
Éducation;en;1st grade
Éducation;en;2nd grade
Éducation;en;3rd grade
Éducation;en;4th grade
Éducation;en;5th grade
Éducation;en;6th grade
Éducation;en;7th grade
Éducation;en;8th grade
Éducation;en;9th grade
Éducation;en;alumna
Éducation;en;alumni
Éducation;en;alumnus
Éducation;en;cegep*
Éducation;en;college*
Éducation;en;teach*
Éducation;en;collegiate
Éducation;en;dipoma*
Éducation;en;educat*
Éducation;en;grade 1
Éducation;en;grade 10
Éducation;en;grade 11
Éducation;en;grade 12
Éducation;en;grade 2
Éducation;en;grade 3
Éducation;en;grade 4
Éducation;en;grade 5
Éducation;en;grade 6
Éducation;en;grade 7
Éducation;en;grade 8
Éducation;en;grade 9
Éducation;en;graduate*
Éducation;en;kindergarten*
Éducation;en;learn*
Éducation;en;postsecondary*
Éducation;en;post-secondary*
Éducation;en;school*
Éducation;en;student*
Éducation;en;tuition
Éducation;en;undergraduat*
Éducation;en;universit*
Éducation;en;vocational
Éducation;en;apprenticeship*
Éducation;en;curricul*
Éducation;en;syllab*
Environnement et énergie;en;acid rain*
Environnement et énergie;en;cap and trade
Environnement et énergie;en;cap-and-trade
Environnement et énergie;en;carbon pricing
Environnement et énergie;en;carbon sink
Environnement et énergie;en;carbon tax*
Environnement et énergie;en;climate change*
Environnement et énergie;en;climate engineering
Environnement et énergie;en;climate intervention*
Environnement et énergie;en;climate remediation*
Environnement et énergie;en;conservation*
Environnement et énergie;en;contaminat*
Environnement et énergie;en;deforest*
Environnement et énergie;en;ecolog*
Environnement et énergie;en;emission*
Environnement et énergie;en;endangered spec*
Environnement et énergie;en;environment*
Environnement et énergie;en;extinct*
Environnement et énergie;en;geoengineering
Environnement et énergie;en;glacier*
Environnement et énergie;en;global warming
Environnement et énergie;en;greenhouse effect
Environnement et énergie;en;greenhouse gas
Environnement et énergie;en;ozone
Environnement et énergie;en;pollut*
Environnement et énergie;en;sea ice
Environnement et énergie;en;sea level*
Environnement et énergie;en;spec* at risk
Environnement et énergie;en;sustainability
Environnement et énergie;en;threatened spec*
Environnement et énergie;en;drinking water
Environnement et énergie;en;water supply
Environnement et énergie;en;potable water
Environnement et énergie;en;hazardous waste
Environnement et énergie;en;smog
Environnement et énergie;en;air quality
Environnement et énergie;en;asbestos
Environnement et énergie;en;algae fuel*
Environnement et énergie;en;alternative fuel*
Environnement et énergie;en;alternative power
Environnement et énergie;en;atomic power
Environnement et énergie;en;bagasse*
Environnement et énergie;en;biodiesel*
Environnement et énergie;en;biofuel*
Environnement et énergie;en;biogas
Environnement et énergie;en;biomass fuel*
Environnement et énergie;en;candu
Environnement et énergie;en;carpool*
Environnement et énergie;en;coal
Environnement et énergie;en;crude oil
Environnement et énergie;en;diesel*
Environnement et énergie;en;electric*
Environnement et énergie;en;energ*
Environnement et énergie;en;ethanol fuel*
Environnement et énergie;en;fracking
Environnement et énergie;en;fuel*
Environnement et énergie;en;gas price*
Environnement et énergie;en;gasoline
Environnement et énergie;en;geothermal
Environnement et énergie;en;hydraulic fracturing
Environnement et énergie;en;hydro power*
Environnement et énergie;en;hydroelectric*
Environnement et énergie;en;hydrogen fuel*
Environnement et énergie;en;home insulation
Environnement et énergie;en;natural gas
Environnement et énergie;en;nuclear facilit*
Environnement et énergie;en;nuclear liabilit*
Environnement et énergie;en;nuclear power*
Environnement et énergie;en;nuclear reactor*
Environnement et énergie;en;nuclear safety
Environnement et énergie;en;offshore drilling*
Environnement et énergie;en;offshore gas
Environnement et énergie;en;offshore oil
Environnement et énergie;en;oil export*
Environnement et énergie;en;oil import*
Environnement et énergie;en;oil produc*
Environnement et énergie;en;oil price*
Environnement et énergie;en;oil sand*
Environnement et énergie;en;oil-exporting
Environnement et énergie;en;oil-importing
Environnement et énergie;en;ocean energy
Environnement et énergie;en;opec
Environnement et énergie;en;peak oil
Environnement et énergie;en;petro*
Environnement et énergie;en;power outage*
Environnement et énergie;en;power plant*
Environnement et énergie;en;power shortage*
Environnement et énergie;en;renewable power*
Environnement et énergie;en;renewable*
Environnement et énergie;en;shale gas
Environnement et énergie;en;solar panel*
Environnement et énergie;en;solar power
Environnement et énergie;en;tar sand*
Environnement et énergie;en;thermal power
Environnement et énergie;en;tidal power
Environnement et énergie;en;wave power
Environnement et énergie;en;wind farm*
Environnement et énergie;en;wind power
Environnement et énergie;en;three mile island
Environnement et énergie;en;chernobyl
Environnement et énergie;en;powergen
Environnement et énergie;en;national power
Terres publiques et agriculture;en;ahi*
Terres publiques et agriculture;en;albacore*
Terres publiques et agriculture;en;anchov*
Terres publiques et agriculture;en;aquaculture*
Terres publiques et agriculture;en;arctic char*
Terres publiques et agriculture;en;barramundi*
Terres publiques et agriculture;en;bluefin*
Terres publiques et agriculture;en;bluefish*
Terres publiques et agriculture;en;calamari*
Terres publiques et agriculture;en;catfish*
Terres publiques et agriculture;en;cod*
Terres publiques et agriculture;en;crab*
Terres publiques et agriculture;en;crayfish*
Terres publiques et agriculture;en;fish*
Terres publiques et agriculture;en;flounder*
Terres publiques et agriculture;en;grey snapper*
Terres publiques et agriculture;en;haddock*
Terres publiques et agriculture;en;hake*
Terres publiques et agriculture;en;halibut*
Terres publiques et agriculture;en;herring*
Terres publiques et agriculture;en;lobster*
Terres publiques et agriculture;en;mackerel*
Terres publiques et agriculture;en;mahi mahi*
Terres publiques et agriculture;en;marlin*
Terres publiques et agriculture;en;mollusk*
Terres publiques et agriculture;en;monkfish*
Terres publiques et agriculture;en;mussel*
Terres publiques et agriculture;en;octopus*
Terres publiques et agriculture;en;orange rough*
Terres publiques et agriculture;en;oyster*
Terres publiques et agriculture;en;pangasius
Terres publiques et agriculture;en;pink snapper*
Terres publiques et agriculture;en;pollock*
Terres publiques et agriculture;en;prawn*
Terres publiques et agriculture;en;red snapper*
Terres publiques et agriculture;en;salmon*
Terres publiques et agriculture;en;sardine*
Terres publiques et agriculture;en;scallop*
Terres publiques et agriculture;en;scallops
Terres publiques et agriculture;en;seabass*
Terres publiques et agriculture;en;seafood*
Terres publiques et agriculture;en;shark fin*
Terres publiques et agriculture;en;shark-fin*
Terres publiques et agriculture;en;shellfish*
Terres publiques et agriculture;en;shrimp*
Terres publiques et agriculture;en;squid*
Terres publiques et agriculture;en;striped bass*
Terres publiques et agriculture;en;sturgeon*
Terres publiques et agriculture;en;swordfish*
Terres publiques et agriculture;en;tilapia*
Terres publiques et agriculture;en;tilefish*
Terres publiques et agriculture;en;toothfish*
Terres publiques et agriculture;en;trout*
Terres publiques et agriculture;en;tuna*
Terres publiques et agriculture;en;whitefish*
Terres publiques et agriculture;en;wreckfish*
Terres publiques et agriculture;en;yellow perch*
Terres publiques et agriculture;en;yellowfin*
Économie et travail;en;aero*
Économie et travail;en;air canada
Économie et travail;en;westjet
Économie et travail;en;airline*
Économie et travail;en;air safety
Économie et travail;en;air service*
Économie et travail;en;air traffic*
Économie et travail;en;air travel*
Économie et travail;en;aviation
Économie et travail;en;bus rapid transit*
Économie et travail;en;mass transit
Économie et travail;en;public transit
Économie et travail;en;public bus*
Économie et travail;en;intercity bus
Économie et travail;en;inter-city bus
Économie et travail;en;rail*
Économie et travail;en;railroad*
Économie et travail;en;subway*
Économie et travail;en;tramway*
Économie et travail;en;transport*
Économie et travail;en;travel*
Économie et travail;en;truck*
Économie et travail;en;highway*
Économie et travail;en;freeway*
Économie et travail;en;bridge maintenance*
Économie et travail;en;speed limit*
Économie et travail;en;coast guard*
Économie et travail;en;cargo*
Économie et travail;en;freight*
Économie et travail;en;taxi*
Économie et travail;en;limo*
Économie et travail;en;limousine*
Économie et travail;en;airport*
Économie et travail;en;tsa
Économie et travail;en;toll road*
Économie et travail;en;traffic jam*
Économie et travail;en;congestion pric*
Économie et travail;en;parking*
Économie et travail;en;drivers licens*
Économie et travail;en;road*
Économie et travail;en;roads
Économie et travail;en;bicycle*
Économie et travail;en;pedestrian*
Économie et travail;en;sidewalk*
Économie et travail;en;walking
Économie et travail;en;cycli*
Économie et travail;en;megabus
Économie et travail;en;greyhound
Économie et travail;en;coach canada
Économie et travail;en;auto* industry
Économie et travail;en;automobile*
Économie et travail;en;driver licens*
Économie et travail;en;driver licenc*
Économie et travail;en;drivers licenc*
Économie et travail;en;driver's licens*
Économie et travail;en;driver's licenc*
Économie et travail;en;vehicle*
Loi et crime;en;abduct*
Loi et crime;en;acquit*
Loi et crime;en;capital punishment*
Loi et crime;en;convict*
Loi et crime;en;court*
Loi et crime;en;crim*
Loi et crime;en;criminal*
Loi et crime;en;crown prosecutor*
Loi et crime;en;death penalty
Loi et crime;en;decriminal*
Loi et crime;en;extortion*
Loi et crime;en;felon*
Loi et crime;en;homocid*
Loi et crime;en;imprison*
Loi et crime;en;incarcerat*
Loi et crime;en;incrimin*
Loi et crime;en;indict*
Loi et crime;en;unlawful*
Loi et crime;en;investigation*
Loi et crime;en;justice*
Loi et crime;en;kidnap*
Loi et crime;en;law enforc*
Loi et crime;en;manslaughter
Loi et crime;en;misdemeanor*
Loi et crime;en;murder*
Loi et crime;en;parole*
Loi et crime;en;plantiff*
Loi et crime;en;police*
Loi et crime;en;prison*
Loi et crime;en;public defender*
Loi et crime;en;public safety
Loi et crime;en;rape*
Loi et crime;en;rapist*
Loi et crime;en;rcmp
Loi et crime;en;sexual assault*
Loi et crime;en;sexual violence*
Loi et crime;en;border guard*
Loi et crime;en;border inspect*
Loi et crime;en;port police
Loi et crime;en;racketeer*
Loi et crime;en;bootleg*
Loi et crime;en;fraud*
Loi et crime;en;money laundering
Loi et crime;en;drug trafficking
Loi et crime;en;jury
Loi et crime;en;juror*
Loi et crime;en;detention*
Loi et crime;en;child porn*
Loi et crime;en;child* abuse*
Loi et crime;en;missing child*
Loi et crime;en;violence* against child*
Loi et crime;en;child welfare
Loi et crime;en;child* adoption*
Loi et crime;en;adopt a child
Loi et crime;en;adoptive parent*
Loi et crime;en;adopted child*
Loi et crime;en;adopted a child
Loi et crime;en;domestic violence*
Loi et crime;en;battered wom*
Loi et crime;en;family planning*
Loi et crime;en;child support*
Loi et crime;en;child custod*
Loi et crime;en;teen pregnanc*
Loi et crime;en;teenage pregnanc*
Loi et crime;en;suicide prevention
Loi et crime;en;family service*
Loi et crime;en;elderly abuse*
Loi et crime;en;divorce*
Loi et crime;en;marriage*
Loi et crime;en;gun control
Loi et crime;en;gun registr*
Loi et crime;en;long-gun registr*
Loi et crime;en;restricted firearm*
Loi et crime;en;prohibited firearm*
Loi et crime;en;riot*
Loi et crime;en;child protection
Loi et crime;en;prostitut*
Loi et crime;en;incest*
Loi et crime;en;theft*
Loi et crime;en;recidivis*
Loi et crime;en;mafia
Loi et crime;en;counterfeit money
Loi et crime;en;counterfeit bill*
Loi et crime;en;counterfeit coin*
Loi et crime;en;forge money
Loi et crime;en;forged money
Loi et crime;en;forging money
Loi et crime;en;shooting*
Loi et crime;en;human trafficking
Loi et crime;en;arms trafficking
Loi et crime;en;young offender*
Loi et crime;en;juvenile delinquen*
Santé et services sociaux;en;employment insurance
Santé et services sociaux;en;food bank*
Santé et services sociaux;en;impoverish*
Santé et services sociaux;en;low-income*
Santé et services sociaux;en;old age security
Santé et services sociaux;en;pension*
Santé et services sociaux;en;poverty
Santé et services sociaux;en;public assistance
Santé et services sociaux;en;public welfare
Santé et services sociaux;en;shelter*
Santé et services sociaux;en;single mother*
Santé et services sociaux;en;single parent*
Santé et services sociaux;en;single-mother*
Santé et services sociaux;en;single-parent*
Santé et services sociaux;en;social assistance
Santé et services sociaux;en;social deprivation
Santé et services sociaux;en;social service*
Santé et services sociaux;en;unemployment insurance*
Santé et services sociaux;en;welfare
Santé et services sociaux;en;guaranteed income*
Santé et services sociaux;en;food stamp*
Santé et services sociaux;en;food assistance
Économie et travail;en;apartment*
Économie et travail;en;cmhc
Économie et travail;en;community development
Économie et travail;en;condo*
Économie et travail;en;condos
Économie et travail;en;condominium*
Économie et travail;en;home construction*
Économie et travail;en;home insulation
Économie et travail;en;homeless
Économie et travail;en;housing*
Économie et travail;en;mortgage*
Économie et travail;en;neighborhood development*
Économie et travail;en;neighbourhood development*
Économie et travail;en;neighborhood preservation
Économie et travail;en;neighbourhood preservation
Économie et travail;en;neighborhood revitalization*
Économie et travail;en;neighbourhood revitalization*
Économie et travail;en;real estate*
Économie et travail;en;rent control*
Économie et travail;en;residen* rehabilitation*
Économie et travail;en;rural development*
Économie et travail;en;urban decline*
Économie et travail;en;urban development*
Économie et travail;en;urban enterprise zone*
Économie et travail;en;urban revitaliz*
Économie et travail;en;urban sprawl
Économie et travail;en;bank*
Économie et travail;en;banking*
